State,County,Cases as of 10/12/2020,90th Percentile AQI,Days Ozone,Days PM2.5,Mean Temp,Population Density (2010)
Georgia,Dawson,860,48,244,0,61.8,105.9
Georgia,DeKalb,19797,64,156,175,65.3,2585.7
Georgia,Dougherty,32273,63,0,356,70.8,287.7
Georgia,Douglas,3864,58,245,0,65.3,661.8
Georgia,Floyd,3461,62,0,360,64.9,188.9
Georgia,Fulton,29274,74,130,214,65.2,1748
Georgia,Glynn,3572,50,224,55,71.6,189.7
Georgia,Gwinnett,29015,69,152,203,64.2,1871.2
Georgia,Hall,10028,57,0,340,63.4,457.5
Georgia,Henry,5699,59,166,197,66.2,633
Georgia,Houston,3323,61,0,354,69.1,372.5
Georgia,Lowndes,4151,55,0,309,70.1,220.2
Georgia,Murray,896,54,240,10,63.4,115
Georgia,Muscogee,6218,58,149,215,67.9,877.5
Georgia,Pike,367,58,353,0,66.8,82.7
Georgia,Richmond,7549,64,127,203,69,618.4
Georgia,Rockdale,1965,67,241,0,65.7,656.5
Georgia,Sumter,949,54,238,0,69.2,68
Georgia,Walker,1679,57,0,356,64.2,154
Georgia,Washington,710,54,0,211,68.1,31.2
Illinois,Adams,1432,54,241,0,56.1,78.5
Illinois,Champaign,5434,61,235,130,55.6,201.8
Illinois,Clark,234,47,327,0,57.2,32.6
Illinois,Cook,71086,76,91,238,54.7,5495.1
Illinois,DuPage,19640,61,172,180,54.3,2799.8
Illinois,Effingham,995,50,245,0,57.6,71.5
Illinois,Hamilton,91,58,198,146,59.8,19.5
Illinois,Jersey,431,58,207,140,58.3,62.2
Illinois,Jo Daviess,369,47,363,0,52.4,37.7
Illinois,Kane,14436,63,226,58,53.3,990.8
Illinois,La Salle,2004,4,0,0,54.3,100.4
Illinois,Lake,18521,58,245,0,53.3,1585.6
Illinois,Macon,2115,61,148,187,56.5,190.8
Illinois,Macoupin,654,47,245,0,57.4,55.4
Illinois,Madison,6426,71,186,174,58.8,376.3
Illinois,McHenry,5202,61,142,198,52.9,511.9
Illinois,McLean,3712,61,174,190,55.4,143.3
Illinois,Monroe,808,6,0,0,60.2,85.6
Illinois,Peoria,3985,58,203,161,55.5,301.2
Illinois,Randolph,1069,54,209,115,59.9,58.2
Illinois,Rock Island,3411,59,186,175,54.4,345
Illinois,Saint Clair,7294,60,169,133,59.7,410.6
Illinois,Sangamon,3052,58,183,177,56.5,227.4
Illinois,Tazewell,2164,9,0,0,56.1,208.6
Illinois,Wabash,185,10,0,0,59.6,53.5
Illinois,Will,15766,62,140,225,54.7,809.6
Illinois,Winnebago,8063,61,147,194,53,575.2
Louisiana,Ascension,3882,54,354,0,72.6,369.7
Louisiana,Bossier,3674,50,223,125,68.9,139.3
Louisiana,Caddo,9329,55,278,78,68.9,290.2
Louisiana,Calcasieu,8068,63,133,227,72.2,181.2
Louisiana,East Baton Rouge,15512,68,177,179,72,966.6
Louisiana,Iberville,1429,58,316,48,72.4,54
Louisiana,Jefferson,653,54,268,91,73.6,1463.1
Louisiana,Lafayette,9183,57,206,159,71.9,824.6
Louisiana,Lafourche,3788,58,155,205,73.9,90.2
Louisiana,Livingston,3981,60,180,185,72.1,197.5
Louisiana,Orleans,13022,51,0,256,73.1,2029.4
Louisiana,Ouachita,6639,49,321,42,68.4,251.8
Louisiana,Pointe Coupee,1081,49,351,0,71.8,40.9
Louisiana,Rapides,4458,52,0,119,70.2,99.9
Louisiana,St. Bernard,1487,60,148,201,72.9,95.1
Louisiana,St. Charles,1889,26,0,0,73.6,189.1
Louisiana,St. James,820,46,359,0,73,91.5
Louisiana,St. John the Baptist,1609,48,364,0,73.2,215.5
Louisiana,St. Martin,2140,48,355,0,72.4,70.7
Louisiana,St. Tammany,7446,56,236,127,71.8,276.4
Louisiana,Tangipahoa,4816,52,0,117,71.6,153
Louisiana,Terrebonne,3748,51,0,120,74.2,90.8
Louisiana,West Baton Rouge,936,59,162,192,72.2,123.6
Maryland,Allegany,528,43,0,0,56.5,177
Maryland,Anne Arundel,10915,67,242,0,61.3,1295.9
Maryland,Baltimore,19102,71,266,78,61.3,1345.5
Maryland,Baltimore (City),16543,62,197,137,61.7,7671.5
Maryland,Calvert,1074,49,232,0,61.6,416.3
Maryland,Carroll,2092,54,241,0,57.8,373.4
Maryland,Cecil,1179,58,228,133,59.2,292
Maryland,Charles,2974,50,221,0,61.9,320.2
Maryland,Dorchester,642,55,329,36,62.1,60.3
Maryland,Frederick,4379,58,243,0,58.2,353.5
Maryland,Garrett,82,49,270,93,52.9,46.5
Maryland,Harford,3288,71,231,128,59,560.1
Maryland,Howard,5473,52,0,236,59,1144.9
Maryland,Kent,325,58,233,127,60.2,72.9
Maryland,Montgomery,23817,52,220,141,59.4,1978.2
Maryland,Prince George's,30878,64,294,69,60.9,1788.8
Maryland,Washington,2008,54,214,146,58,322.1
Massachusetts,Barnstable,1878,45,357,2,55,548.3
Massachusetts,Berkshire,732,52,247,117,50.3,141.6
Massachusetts,Bristol,10739,51,296,68,55.3,991.3
Massachusetts,Dukes,70,48,344,8,54.9,160.2
Massachusetts,Essex,21380,49,287,70,53.4,1508.8
Massachusetts,Franklin,426,51,251,113,52.3,102.1
Massachusetts,Hampden,8854,53,237,116,53.2,751
Massachusetts,Hampshire,1364,49,288,75,52.7,299
Massachusetts,Middlesex,29358,48,250,97,54.2,1837.9
Massachusetts,Norfolk,10942,44,349,0,55,1693.6
Massachusetts,Plymouth,10380,48,274,89,55.2,750.9
Massachusetts,Suffolk,25824,53,136,187,55.3,12415.7
Massachusetts,Worcester,15189,54,221,131,53.1,528.6
Michigan,Allegan,842,61,241,35,52.7,135
Michigan,Bay,1044,46,0,316,52.1,243.7
Michigan,Benzie,88,46,247,0,49.3,54.8
Michigan,Berrien,1944,51,260,0,53.8,276.2
Michigan,Cass,653,51,255,0,53.4,106.7
Michigan,Chippewa,58,49,0,58,45.2,24.7
Michigan,Clinton,718,46,248,0,52.3,133.1
Michigan,Genesee,4617,56,194,146,52.5,668.5
Michigan,Huron,205,46,259,0,50.8,39.6
Michigan,Ingham,4007,49,233,123,52.1,505.1
Michigan,Kalamazoo,3021,54,200,162,53.1,445.7
Michigan,Kent,10752,54,257,101,51.8,711.5
Michigan,Keweenaw,14,15,0,59,44.9,4
Michigan,Lenawee,911,58,192,166,53.5,133.3
Michigan,Macomb,15335,54,244,48,54,1754.9
Michigan,Manistee,91,49,241,28,49.3,45.6
Michigan,Mason,140,46,254,0,49.6,58
Michigan,Missaukee,54,49,306,57,48.4,26.3
Michigan,Monroe,1507,16,0,0,55,276.7
Michigan,Muskegon,1643,50,262,0,51.9,344.9
Michigan,Oakland,17825,58,242,51,53,1385.7
Michigan,Ottawa,3846,58,230,45,52.4,468.2
Michigan,Schoolcraft,43,45,243,120,45.4,7.2
Michigan,St. Clair,1016,64,172,128,53.3,226.1
Michigan,Tuscola,475,46,355,0,52.1,69.4
Michigan,Washtenaw,3804,58,241,124,53,488.4
Michigan,Wayne,19646,77,73,253,54.6,2974.4
Michigan,Wexford,124,46,340,0,48.6,57.9
New Jersey,Atlantic,4517,51,262,103,59.3,494.1
New Jersey,Bergen,23323,71,96,211,57.7,3884.5
New Jersey,Camden,10553,67,202,144,59.7,2321.5
New Jersey,Cumberland,3879,58,268,91,59.4,324.4
New Jersey,Essex,21913,62,160,120,58.1,6211.5
New Jersey,Gloucester,5008,54,226,54,59.7,895.3
New Jersey,Hudson,21286,61,136,124,59.4,13731.4
New Jersey,Hunterdon,1461,58,271,91,56.6,300
New Jersey,Mercer,8850,61,266,99,58.5,1632.2
